"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 25 07:22:00 UTC 2026","Wed Mar 25 07:22:00 UTC 2026","4","tests.contract.cats","test_create_health-card_contract","","","","test_create_health_card_invalid_payload[payload3-invalid type of 'lastVaccination']",""
"passed","Wed Mar 25 07:22:02 UTC 2026","Wed Mar 25 07:22:02 UTC 2026","4","tests.contract.cats","test_delete_cat_contract","","","","test_delete_invalid_ID_contract[float id format]",""
"passed","Wed Mar 25 07:22:06 UTC 2026","Wed Mar 25 07:22:06 UTC 2026","5","tests.contract.cats","test_patch_health-card_contract","","","","test_patch_health_card_invalid_payload[payload4-invalid type of 'medicalStatus']",""
"passed","Wed Mar 25 07:21:25 UTC 2026","Wed Mar 25 07:21:25 UTC 2026","6","tests.api.cats","test_create_cat_api","","","","test_create_cat_age_boundary[0]",""
"passed","Wed Mar 25 07:22:00 UTC 2026","Wed Mar 25 07:22:00 UTC 2026","4","tests.contract.cats","test_create_health-card_contract","","","","test_create_health_card_invalid_payload[payload2-invalid type of 'lastVaccination']",""
"passed","Wed Mar 25 07:21:26 UTC 2026","Wed Mar 25 07:21:26 UTC 2026","94","tests.api.cats","test_delete_cat_api","","","","test_delete_adopted_cat_success",""
"passed","Wed Mar 25 07:21:48 UTC 2026","Wed Mar 25 07:21:48 UTC 2026","4","tests.contract.cats","test_adopt_cat_contract","","","","test_adopt_cat_unauthorized_contract",""
"passed","Wed Mar 25 07:22:13 UTC 2026","Wed Mar 25 07:22:13 UTC 2026","72","tests.contract.users","test_get_user_contract","","","","test_get_user_by_Id_contract",""
"passed","Wed Mar 25 07:22:17 UTC 2026","Wed Mar 25 07:22:17 UTC 2026","115","tests","test_e2e","","","","test_registration_adoption_and_chip",""
"passed","Wed Mar 25 07:22:13 UTC 2026","Wed Mar 25 07:22:13 UTC 2026","3","tests.contract.users","test_get_user_contract","","","","test_get_user_by_Id_unauthorized_contract",""
"passed","Wed Mar 25 07:21:25 UTC 2026","Wed Mar 25 07:21:25 UTC 2026","3","tests.api.cats","test_create_cat_api","","","","test_create_cat_age_boundary[1.5]",""
"passed","Wed Mar 25 07:21:26 UTC 2026","Wed Mar 25 07:21:26 UTC 2026","20","tests.api.cats","test_delete_cat_api","","","","test_delete_cat_success",""
"passed","Wed Mar 25 07:21:46 UTC 2026","Wed Mar 25 07:21:46 UTC 2026","3","tests.contract.auth","test_register_contract","","","","test_register_contract_validation_error[payload2-missing 'login']",""
"passed","Wed Mar 25 07:22:17 UTC 2026","Wed Mar 25 07:22:18 UTC 2026","328","tests","test_e2e","","","","test_new_admin_can_delete_other_users",""
"passed","Wed Mar 25 07:21:49 UTC 2026","Wed Mar 25 07:21:49 UTC 2026","153","tests.contract.cats","test_adopt_cat_contract","","","","test_adopt_adopted_cat_contract",""
"passed","Wed Mar 25 07:21:58 UTC 2026","Wed Mar 25 07:21:58 UTC 2026","4","tests.contract.cats","test_create_cat_contract","","","","test_create_cat_invalid_contract[payload3-invalid type of 'age']",""
"passed","Wed Mar 25 07:22:03 UTC 2026","Wed Mar 25 07:22:03 UTC 2026","5","tests.contract.cats","test_get_cat_contract","","","","test_get_cat_by_invalid_id_contract[nonexistent id]",""
"passed","Wed Mar 25 07:21:49 UTC 2026","Wed Mar 25 07:21:49 UTC 2026","10","tests.contract.cats","test_adopt_cat_contract","","","","test_patch_cat_invalid_userid_contract[invalid id format]",""
"passed","Wed Mar 25 07:22:01 UTC 2026","Wed Mar 25 07:22:01 UTC 2026","6","tests.contract.cats","test_create_health-card_contract","","","","test_create_health_card_invalid_payload[payload5-invalid type of 'notes']",""
"passed","Wed Mar 25 07:21:57 UTC 2026","Wed Mar 25 07:21:57 UTC 2026","4","tests.contract.cats","test_create_cat_contract","","","","test_create_cat_unauthorized_contract",""
"passed","Wed Mar 25 07:21:48 UTC 2026","Wed Mar 25 07:21:48 UTC 2026","72","tests.contract.cats","test_adopt_cat_contract","","","","test_patch_cat_invalid_catid_contract[nonexistent id]",""
"passed","Wed Mar 25 07:21:43 UTC 2026","Wed Mar 25 07:21:44 UTC 2026","324","tests.api.users","test_make-admin_api","","","","test_make_admin_check_rights",""
"passed","Wed Mar 25 07:22:07 UTC 2026","Wed Mar 25 07:22:07 UTC 2026","5","tests.contract.cats","test_update_cat_contract","","","","test_patch_cat_invalid_catId_contract[invalid id format]",""
"passed","Wed Mar 25 07:21:49 UTC 2026","Wed Mar 25 07:21:49 UTC 2026","9","tests.contract.cats","test_adopt_cat_contract","","","","test_patch_cat_invalid_userid_contract[float id format]",""
"passed","Wed Mar 25 07:21:43 UTC 2026","Wed Mar 25 07:21:43 UTC 2026","71","tests.api.users","test_get_user_api","","","","test_user_without_cats",""
"passed","Wed Mar 25 07:22:04 UTC 2026","Wed Mar 25 07:22:04 UTC 2026","4","tests.contract.cats","test_patch_health-card_contract","","","","test_patch_health_card_unauthorized",""
